Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/tire%20Sealer%20spray22-156x156.jpg,"Help Tyre Inflator & Sealer for Emergency Tyre Puncture Usage","Help Tyre Inflator & Sealer for Emergency Tyre Puncture Usage Super Help Tire Inflator is the perfect solution for tyre related emergencies. One time use product perfect for those with no experience of using tools and changing tyres. No Jack Nor Tyre-Change Is Needed. One Step Procedure Of Tyre Pumping And Repairing Is Finished In Seconds. Key Features : Inflates Most Flat Tires..","Rs.222"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/bluek_31212_800_2_1-156x156.jpg,"Knighthood Bike Driving Fingerless Gloves","Features:    Brand NEW!    Color:  BLUE Fingerless with ventilated meshes on Palms, Rough Grip    Specially designed to provide comfortable compression and support, Fingerless Gloves ensures comfortable fit and stabilization during activity.    Knighthood Fastening - Adjustable strap    ..","Rs.150"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/blk-156x156.JPG,"Knighthood Bike Riding Gloves Half (Black)","Knighthood Bike Riding Gloves Half (Black) Fingerless with ventilated meshes on Palms, Rough Grip Specially designed to provide comfortable compression and support, Fingerless Gloves ensures Comfortable fit and stabilization during activity. Knighthood Fastening - Adjustable strap Anti-Slip material under fingers Size: 14cm x 10cm Col..","Rs.150"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/bluet_301112_800_2-156x156.jpg,"Monster Tank Pad Blue Color","Monster tank pad Add style and protection to your street motorcycle tank with the Pro Grip Tank Protector. Long lasting adhesive resists water and the elements Made with thermal molded resin for better protection Sleek, segmented design for better fit and better adhesion Size: 8 x 5 Carbon fiber look Protect your sport bikes tank surface from acciden..","Rs.135"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/monster_191112_800_2-156x156.jpg,"Monster Tank Pad Green Color"," Monster tank pad Add style and protection to your street motorcycle tank with the Pro Grip Tank Protector.   ·         Long lasting adhesive resists water and the elements ·         Made with thermal molded resin for better protection ·        ..","Rs.135"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/redtn_301112_800_2-156x156.jpg,"Monster Tank Pad Red Color","Monster tank pad Add style and protection to your street motorcycle tank with the Pro Grip Tank Protector.   Long lasting adhesive resists water and the elements Made with thermal molded resin for better protection Sleek, segmented design for better fit and better adhesion Size: 8 x 5 Carbon fiber look Protect your sport bikes tank surfa..","Rs.135"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/yellowt_301112_800_2-156x156.jpg,"Monster Tank Pad Yellow Color","Monster tank pad Add style and protection to your street motorcycle tank with the Pro Grip Tank Protector.   Long lasting adhesive resists water and the elements Made with thermal molded resin for better protection Sleek, segmented design for better fit and better adhesion Size: 8 x 5 Carbon fiber look Protect your sport bikes tank surfa..","Rs.135"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/gear_lock11-156x156.jpg,"Motorcycle Disk Lock Security"," DESCRIPTION Hardened steel locking pin ensures protection against drilling, sawing and cutting.   Different colors are available  Material: Steel, iron, zinc alloy   Impact resistant solid cast metal   Super hard anti theft disc lock   Classic and elegant design fit for every disc brake motorcycle ..","Rs.170"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/rim-156x156.jpg,"Motorcycle Reflective Rim Tape","Motorcycle Reflective Rim Tape.  Reflective  rim tape stripes Fits all 17" motorycle wheels Adhesive vinyl weather resistant material  8mm (.3 inch width) One of the best ways to stay visible at night   ..","Rs.199"
Car & Bike Accessories,http://www.desibaniya.com/image/cache/data/byk%20accc/riding%20grip-156x156.jpg,"Motorcycle Riding Grips","Motorcycle Riding Grips Product Name-Motorcycle Riding Grips Material -CNC Machined Aluminum + None-Slip Gel Rubber Left (bar side) hole diameter: 7/8" (22mm) Right (throttle side) hole diameter: 1" (25mm) Length-13 Cms Color-Blue Weight(Approx )-250 gm Per Set   Content-2 Pcs.Bike Handlebar Grip Cover Heavy Quality   ..","Rs.299"
