Url,Title,MRP,Price,Shipping,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,Brand, Color Family, Duration, Fabric, Ideal For, Length, Lifestyle, Model ID, Neckline, Occasion, Part Number, Prints & Patterns, Quantity Range, Quantity in, Sleeve Length, Style, Type, Warranty Available, Wash Care
"http://www.shopclues.com/envy-rock-deo-130-ml.html","Envy Rock Deo 130 Ml","NA","Rs.250","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Perfumes","NA","NA",null
"http://www.shopclues.com/envy-1000-fiery-nitro-deo-combo-pack-of-2.html","ENVY 1000 Fiery Nitro Deo Combo (Pack of 2)","NA","Rs.390","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-1000-deo-for-men-130ml-99.html","Envy 1000 Deo For Men - 130Ml","Rs.195","Rs.159/Pc","NA","LIFESTYLE CORPORATION","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-me-ny-floral-border-print-shirt.html","Envy Me NY FLORAL BORDER PRINT SHIRT","Rs.1,899","Rs.429","Shipping: Rs. 40","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Casual","Prints & Patterns : Printed","More Specification","NA","http://cdn.shopclues.com/images/detailed/20542/EM15002_1435221489.jpg","http://cdn.shopclues.com/images/detailed/20542/EM150023_1435221507.jpg","http://cdn.shopclues.com/images/detailed/20542/EM150022_1435221501.jpg","NA","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA",null
"http://www.shopclues.com/envy-1000-nitro-noir-deo-combo-pack-of-2.html","ENVY 1000 Nitro Noir Deo Combo (Pack of 2)","Rs.398","Rs.370","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-me-print--solid-shirt-em15-046.html","Envy me print + solid shirt EM15-046","Rs.1,799","Rs.529","Shipping: Rs. 50","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Casual","Prints & Patterns : Printed","More Specification","NA","http://cdn.shopclues.com/images/detailed/22121/EM15046_1436956976.jpg","http://cdn.shopclues.com/images/detailed/22122/EM150464_1436957042.jpg","http://cdn.shopclues.com/images/detailed/22122/EM150463_1436957022.jpg","http://cdn.shopclues.com/images/detailed/22121/EM150462_1436956999.jpg","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA",null
"http://www.shopclues.com/envy-1000-blush-wink-deo-combo-pack-of-2.html","ENVY 1000 Blush Wink Deo Combo (Pack of 2)","Rs.398","Rs.390","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-1000-nitro-rush-noir-deo-combo-pack-of-3.html","ENVY 1000 Nitro, Rush Noir Deo Combo (Pack of 3)","NA","Rs.585","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-1000-nitro-deo-130-ml.html","Envy 1000 Nitro Deo 130 Ml","NA","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA",null
"http://www.shopclues.com/envy-1000-enigma-divine-magic-crystal-deo-combo-pack-of-3.html","ENVY 1000 Enigma, Divine Magic Crystal Deo Combo (Pack of 3)","Rs.597","Rs.580","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-me-ny-slant-formal-shirt-em15-008.html","ENVY ME NY SLANT FORMAL SHIRT EM15-008","Rs.1,799","Rs.499","Shipping: Rs. 40","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Formal","Prints & Patterns : Plain","More Specification","NA","http://cdn.shopclues.com/images/detailed/20715/EM15008_1435399498.jpg","http://cdn.shopclues.com/images/detailed/20715/EM150083_1435399511.jpg","http://cdn.shopclues.com/images/detailed/20715/EM150082_1435399504.jpg","NA","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA","Envy","Sky Blue","NA","NA","Women","NA","NA","EM15-008","Shirt Collar","Formal","NA","Plain","NA","NA","Full Sleeves","NA","Casual Shirts","NA","Hand Wash",
"http://www.shopclues.com/envy-me-peplum-shirt-em15-056.html","Envy me peplum shirt EM15-056","Rs.1,799","Rs.629","Free Shipping","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Type : Peplum","NA","NA","NA","NA","http://cdn.shopclues.com/images/detailed/22161/EM15056_1437029597.jpg","http://cdn.shopclues.com/images/detailed/22161/EM150564_1437029622.jpg","http://cdn.shopclues.com/images/detailed/22161/EM150563_1437029615.jpg","http://cdn.shopclues.com/images/detailed/22161/EM150562_1437029607.jpg","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA","Envy","NA","NA","NA","NA","NA","NA","EM15-056","NA","NA","NA","NA","NA","NA","NA","NA","Peplum","NA","NA",
"http://www.shopclues.com/envy-1000-texas-heat-alpine-thrill-miami-rush-crystal-deo-combo-pack-of-3.html","ENVY 1000 Texas Heat, Alpine Thrill Miami Rush Crystal Deo Combo (Pack of 3)","NA","Rs.597","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-force-deo-130-ml.html","Envy 1000 Force Deo 130 Ml","NA","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-hip-hop-deo-130-ml.html","Envy Hip Hop Deo 130 Ml","Rs.225","Rs.190","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Perfumes","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-torque-deo-130-ml.html","Envy 1000 Torque Deo 130 Ml","NA","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-me-ny-wrap-blouse-em15-29.html","ENVY ME NY WRAP BLOUSE EM15-29","Rs.1,699","Rs.679","Free Shipping","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Neckline : Turtle Neck","NA","NA","NA","NA","http://cdn.shopclues.com/images/detailed/20731/EM15029_1435407954.jpg","http://cdn.shopclues.com/images/detailed/20731/EM150293_1435407976.jpg","http://cdn.shopclues.com/images/detailed/20731/EM150292_1435407960.jpg","NA","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA","Envy","NA","NA","NA","NA","NA","NA","EM15-029","Turtle Neck","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-fiery-rush-deo-combo-pack-of-2.html","ENVY 1000 Fiery Rush Deo Combo (Pack of 2)","Rs.390","Rs.370","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
